clon,clat,cdep,slip,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
9410131.084203605,31823353.296530355,488.7804878048781,2.1760375008649144,9409836.92292402,31822927.522575893,1.0,9410179.42581245,31823868.541527953,1.0,9410425.24548319,31823779.07048481,976.5609756097562,9410082.74259476,31822838.05153275,976.5609756097562
9410473.587092035,31824294.31548241,488.7804878048781,2.489139059361268,9410179.42581245,31823868.541527953,1.0,9410521.928700881,31824809.560480013,1.0,9410767.74837162,31824720.08943687,976.5609756097562,9410425.24548319,31823779.07048481,976.5609756097562
9410816.089980464,31825235.33443447,488.7804878048781,2.427727447923168,9410521.928700881,31824809.560480013,1.0,9410864.431589311,31825750.579432074,1.0,9411110.25126005,31825661.10838893,976.5609756097562,9410767.74837162,31824720.08943687,976.5609756097562
9411158.592868894,31826176.353386536,488.7804878048781,2.672601021175434,9410864.431589311,31825750.579432074,1.0,9411206.934477743,31826691.59838414,1.0,9411452.75414848,31826602.127340995,976.5609756097562,9411110.25126005,31825661.10838893,976.5609756097562
9411501.095757324,31827117.372338593,488.7804878048781,2.9308720854486054,9411206.934477743,31826691.59838414,1.0,9411549.43736617,31827632.617336195,1.0,9411795.257036911,31827543.14629305,976.5609756097562,9411452.75414848,31826602.127340995,976.5609756097562
9411843.598645756,31828058.391290653,488.7804878048781,2.9165498363337377,9411549.43736617,31827632.617336195,1.0,9411891.940254603,31828573.636288255,1.0,9412137.759925341,31828484.165245112,976.5609756097562,9411795.257036911,31827543.14629305,976.5609756097562
9412186.101534188,31828999.410242714,488.7804878048781,3.2023117844760307,9411891.940254603,31828573.636288255,1.0,9412234.443143034,31829514.65524032,1.0,9412480.262813771,31829425.184197176,976.5609756097562,9412137.759925341,31828484.165245112,976.5609756097562
9412528.604422618,31829940.42919478,488.7804878048781,3.4092825905987514,9412234.443143034,31829514.65524032,1.0,9412576.946031464,31830455.67419238,1.0,9412822.765702201,31830366.203149237,976.5609756097562,9412480.262813771,31829425.184197176,976.5609756097562
9412871.107311048,31830881.44814684,488.7804878048781,3.353511273375485,9412576.946031464,31830455.67419238,1.0,9412919.448919894,31831396.69314444,1.0,9413165.268590635,31831307.222101294,976.5609756097562,9412822.765702201,31830366.203149237,976.5609756097562
9413213.61019948,31831822.467098895,488.7804878048781,2.618237001790235,9412919.448919894,31831396.69314444,1.0,9413261.951808324,31832337.7120965,1.0,9413507.771479065,31832248.241053354,976.5609756097562,9413165.268590635,31831307.222101294,976.5609756097562
